addresspoid,housenum,geo_housenum,geo_streetname,atomicid,geo_atomicid
112817,29,29,9 AVENUE,4094500110,4000000
112818,141-35,141-35,9 AVENUE,4094500110,4000000
112819,141-35,141-35,CENTER DRIVE,4094500110,4094500113
112821,31,31,9 AVENUE,4094500110,4000000
112822,141-29,141-29,9 AVENUE,4094500110,4000000
112824,141-29,141-29,CENTER DRIVE,4094500110,4094500113
112825,33,33,9 AVENUE,4094500110,4000000
112826,141-19,141-19,9 AVENUE,4094500110,4000000
112828,141-19,141-19,CENTER DRIVE,4094500110,4094500113
112829,35,35,9 AVENUE,4094500110,4000000
112830,141-15,141-15,9 AVENUE,4094500110,4000000
112832,141-15,141-15,CENTER DRIVE,4094500110,4094500113
112840,44,44,CENTER DRIVE,4094500113,4000000
112842,141-58,141-58,CENTER DRIVE,4094500113,4094500110
113018,1,1,5 AVENUE,4094500102,4000000
113059,20,20,7 AVENUE,4094500107,4000000
113064,6,6,7 AVENUE,4094500107,4000000
113096,1,1,9 AVENUE,4094500111,4000000
113099,7,7,9 AVENUE,4094500111,4000000
113103,9,9,9 AVENUE,4094500111,4000000
113111,15,15,9 AVENUE,4094500111,4000000
113115,19,19,9 AVENUE,4094500111,4000000
113185,125,125,POWELLS COVE DRIVE,4094500132,4000000
113188,1-20,1-20,144 STREET,4094500138,4000000
113255,145-03,145-03,7 AVENUE,4094500104,4000000
114530,150-34,150-34,6 AVENUE,4098100109,4098100108
117966,14-44,14-44,150 STREET,4098100214,4098100215
124634,27-04,27-04,170 STREET,4114100104,4114100103
124880,32-09,32-09,COLLEGE POINT BOULEVARD,4086900522,4086900521
124917,132-15,132-15,NORTHERN BOULEVARD,4086900504,4086900515
137107,162-06,162-06,46 AVENUE,4120700201,4120700214
137384,157-18,157-18,QUINCE AVENUE,4120300108,4120300204
139619,175-56,175-56,UNDERHILL AVENUE,4141700417,4141700411
144711,214-05,214-05,217 STREET,4099703309,4000000
144713,214-01,214-01,217 STREET,4099703309,4000000
144729,214-03,214-03,217 STREET,4099703309,4000000
144760,214-10,214-10,217 STREET,4099703303,4000000
144762,214-14,214-14,217 STREET,4099703303,4000000
144764,214-16,214-16,217 STREET,4099703303,4000000
144766,214-20,214-20,217 STREET,4099703303,4000000
144768,214-22,214-22,217 STREET,4099703303,4000000
144770,214-26,214-26,217 STREET,4099703303,4000000
144772,214-28,214-28,217 STREET,4099703303,4000000
144774,214-32,214-32,217 STREET,4099703303,4000000
144776,214-34,214-34,217 STREET,4099703303,4000000
157789,82-17,82-17,141 STREET,4022001102,4022001320
158443,75-23,75-23,MAIN STREET,4077907701,4077907704
161190,65-76,65-76,160 STREET,4122701423,4122701431
170887,182-75,182-75,AVON STREET,4127700218,4000000
170888,182-61,182-61,AVON STREET,4127700218,4000000
170889,182-55,182-55,AVON STREET,4127700218,4000000
170890,182-51,182-51,AVON STREET,4127700218,4000000
170891,182-41,182-41,AVON STREET,4127700218,4000000
170892,182-33,182-33,AVON STREET,4127700218,4000000
170893,182-27,182-27,AVON STREET,4127700218,4000000
170894,182-21,182-21,AVON STREET,4127700218,4000000
170895,182-15,182-15,AVON STREET,4127700218,4000000
170907,182-26,182-26,AVON STREET,4127700205,4000000
170908,182-34,182-34,AVON STREET,4127700205,4000000
170909,182-40,182-40,AVON STREET,4127700205,4000000
170910,182-48,182-48,AVON STREET,4127700205,4000000
171096,184-57,184-57,AVON STREET,4127700207,4000000
171097,184-45,184-45,AVON STREET,4127700207,4000000
171098,184-27,184-27,AVON STREET,4127700207,4000000
171099,184-21,184-21,AVON STREET,4127700207,4000000
171100,184-15,184-15,AVON STREET,4127700207,4000000
171112,184-42,184-42,AVON STREET,4127700203,4000000
171114,184-36,184-36,AVON STREET,4127700203,4000000
171115,184-30,184-30,AVON STREET,4127700203,4000000
171116,184-26,184-26,AVON STREET,4127700203,4000000
171117,184-22,184-22,AVON STREET,4127700203,4000000
171273,186-07,186-07,AVON STREET,4127700209,4000000
171288,186-49,186-49,AVON STREET,4127700209,4000000
171289,186-39,186-39,AVON STREET,4127700209,4000000
171290,186-29,186-29,AVON STREET,4127700209,4000000
171291,186-27,186-27,AVON STREET,4127700209,4000000
171292,186-23,186-23,AVON STREET,4127700209,4000000
171293,186-15,186-15,AVON STREET,4127700209,4000000
171298,186-06,186-06,AVON STREET,4127700225,4000000
171300,186-14,186-14,AVON STREET,4127700225,4000000
171301,186-18,186-18,AVON STREET,4127700225,4000000
171302,186-22,186-22,AVON STREET,4127700225,4000000
171303,186-26,186-26,AVON STREET,4127700225,4000000
171304,186-28,186-28,AVON STREET,4127700225,4000000
171305,186-32,186-32,AVON STREET,4127700225,4000000
171306,186-36,186-36,AVON STREET,4127700225,4000000
171307,186-46,186-46,AVON STREET,4127700225,4000000
171308,186-54,186-54,AVON STREET,4127700225,4000000
171580,188-91,188-91,AVON STREET,4127700126,4000000
171581,188-87,188-87,AVON STREET,4127700126,4000000
171582,188-81,188-81,AVON STREET,4127700126,4000000
171583,188-75,188-75,AVON STREET,4127700126,4000000
171584,188-65,188-65,AVON STREET,4127700126,4000000
174588,217-31,217-31,56 AVENUE,4144100403,4139900101
174589,217-27,217-27,56 AVENUE,4144100403,4139900101
174590,217-23,217-23,56 AVENUE,4144100403,4139900101
174592,217-19,217-19,56 AVENUE,4144100403,4139900101
174594,217-15,217-15,56 AVENUE,4144100403,4139900101
174596,217-09,217-09,56 AVENUE,4144100403,4139900144
184157,88-34,88-34,MOLINE STREET,4162100213,4162100216
187044,236-09,236-09,BAY STREET,4148300414,4000000
187060,21,21,CENTER DRIVE,4148300414,4000000
187134,239-27,239-27,BAY STREET,4148300415,4000000
187137,251,251,BAY STREET,4148300415,4000000
187140,239-03,239-03,BAY STREET,4148300415,4000000
187142,239,239,BAY STREET,4148300415,4000000
187143,239-01,239-01,BAY STREET,4148300415,4000000
187146,237,237,BAY STREET,4148300415,4000000
187147,237-25,237-25,BAY STREET,4148300415,4000000
187150,225,225,BAY STREET,4148300415,4000000
187151,237-23,237-23,BAY STREET,4148300415,4000000
187153,217,217,BAY STREET,4148300415,4000000
187154,237-17,237-17,BAY STREET,4148300415,4000000
187155,211,211,BAY STREET,4148300415,4000000
187156,237-05,237-05,BAY STREET,4148300415,4000000
187219,335,335,BAY STREET,4148300416,4000000
187220,240-41,240-41,BAY STREET,4148300416,4000000
187220,240-43,240-43,BAY STREET,4148300416,4000000
187226,319,319,BAY STREET,4148300416,4000000
187227,240-27,240-27,BAY STREET,4148300416,4000000
187231,309,309,BAY STREET,4148300416,4000000
187235,301,301,BAY STREET,4148300416,4000000
187236,240-09,240-09,BAY STREET,4148300416,4000000
187247,37-16,37-16,233 STREET,4148300127,4000000
187248,37-20,37-20,233 STREET,4148300127,4000000
187389,8,8,BAY STREET,4148300505,4000000
187394,236-28,236-28,BAY STREET,4148300505,4000000
187396,236-34,236-34,BAY STREET,4148300505,4000000
187417,238-02,238-02,BAY STREET,4148300504,4000000
187422,139,139,240 STREET,4148300504,4000000
187425,127,127,240 STREET,4148300504,4000000
187426,121,121,240 STREET,4148300504,4000000
187427,115,115,240 STREET,4148300504,4000000
187429,109,109,240 STREET,4148300504,4000000
187435,100,100,240 STREET,4148300508,4000000
187437,116,116,240 STREET,4148300508,4000000
187438,122,122,240 STREET,4148300508,4000000
187440,128,128,240 STREET,4148300508,4000000
187442,134,134,240 STREET,4148300508,4000000
187443,239-02,239-02,BAY STREET,4148300508,4000000
187445,140,140,240 STREET,4148300508,4000000
187458,308,308,BAY STREET,4148300513,4000000
187460,314,314,BAY STREET,4148300513,4000000
187462,320,320,BAY STREET,4148300513,4000000
187463,240-28,240-28,BAY STREET,4148300513,4000000
187465,324,324,BAY STREET,4148300513,4000000
187466,240-32,240-32,BAY STREET,4148300513,4000000
187468,328,328,BAY STREET,4148300513,4000000
187469,240-34,240-34,BAY STREET,4148300513,4000000
187471,336,336,BAY STREET,4148300513,4000000
187472,240-38,240-38,BAY STREET,4148300513,4000000
187865,40-32,40-32,247 STREET,4147900412,4147900415
192615,60-08,60-08,LITTLE NECK PARKWAY,4152902404,4152902412
196628,86-39,86-39,CROSS ISLAND PARKWAY,4161700410,4161700413
206019,78-21,78-21,ATLANTIC AVENUE,4000600111,4000600105
208349,94-06,94-06,82 STREET,4003400114,4003400116
210006,97-49,97-49,95 STREET,4003800101,4003800106
214313,85-15,85-15,115 STREET,4013200207,4013200208
214324,85-55,85-55,115 STREET,4013200207,4013200208
214325,85-45,85-45,115 STREET,4013200207,4013200208
227563,133-02,133-02,LIBERTY AVENUE,4015801211,4015801205
227563,133-12,133-12,LIBERTY AVENUE,4015801211,4015801205
227832,104-17,104-17,132 STREET,4015801203,4015801210
227833,104-15,104-15,132 STREET,4015801203,4015801210
229280,138-25,138-25,87 AVENUE,4021400203,4021400206
232594,161-10,161-10,NORMAL ROAD,4044800201,4044800110
240079,160-02,160-02,LIBERTY AVENUE,4024600207,4024600119
240372,107-09,107-09,SUTPHIN BOULEVARD,4025400506,4019800106
240374,107-03,107-03,SUTPHIN BOULEVARD,4025400506,4019800106
241010,94-39,94-39,MERRICK BOULEVARD,4044400102,4044400144
243957,109-15,109-15,MERRICK BOULEVARD,4041400205,4041400203
245835,183-01,183-01,110 AVENUE,4040400309,4000000
245854,183-77,183-77,110 AVENUE,4040400309,4000000
245855,183-73,183-73,110 AVENUE,4040400309,4000000
245856,183-69,183-69,110 AVENUE,4040400309,4000000
245857,183-65,183-65,110 AVENUE,4040400309,4000000
245858,183-61,183-61,110 AVENUE,4040400309,4000000
245859,183-57,183-57,110 AVENUE,4040400309,4000000
245860,183-53,183-53,110 AVENUE,4040400309,4000000
245861,183-49,183-49,110 AVENUE,4040400309,4000000
245862,183-45,183-45,110 AVENUE,4040400309,4000000
245863,183-41,183-41,110 AVENUE,4040400309,4000000
245864,183-37,183-37,110 AVENUE,4040400309,4000000
245865,183-33,183-33,110 AVENUE,4040400309,4000000
245866,183-29,183-29,110 AVENUE,4040400309,4000000
245867,183-25,183-25,110 AVENUE,4040400309,4000000
245868,183-21,183-21,110 AVENUE,4040400309,4000000
245869,183-17,183-17,110 AVENUE,4040400309,4000000
245870,183-11,183-11,110 AVENUE,4040400309,4000000
245871,183-07,183-07,110 AVENUE,4040400309,4000000
245907,186-01,186-01,110 AVENUE,4040400316,4000000
245923,188-15,188-15,110 AVENUE,4040400316,4000000
245925,188-09,188-09,110 AVENUE,4040400316,4000000
245926,188-05,188-05,110 AVENUE,4040400316,4000000
245927,188-01,188-01,110 AVENUE,4040400316,4000000
245928,187-23,187-23,110 AVENUE,4040400316,4000000
245929,187-19,187-19,110 AVENUE,4040400316,4000000
245930,187-15,187-15,110 AVENUE,4040400316,4000000
245931,187-09,187-09,110 AVENUE,4040400316,4000000
245932,187-05,187-05,110 AVENUE,4040400316,4000000
245933,187-01,187-01,110 AVENUE,4040400316,4000000
245934,186-27,186-27,110 AVENUE,4040400316,4000000
245935,186-23,186-23,110 AVENUE,4040400316,4000000
245936,186-19,186-19,110 AVENUE,4040400316,4000000
245937,186-15,186-15,110 AVENUE,4040400316,4000000
245938,186-09,186-09,110 AVENUE,4040400316,4000000
245939,186-05,186-05,110 AVENUE,4040400316,4000000
247608,186-20,186-20,110 AVENUE,4040400307,4000000
247609,186-16,186-16,110 AVENUE,4040400307,4000000
247610,186-12,186-12,110 AVENUE,4040400307,4000000
247611,186-08,186-08,110 AVENUE,4040400307,4000000
247612,186-04,186-04,110 AVENUE,4040400307,4000000
247633,187-20,187-20,110 AVENUE,4040400303,4000000
247634,187-16,187-16,110 AVENUE,4040400303,4000000
247635,187-10,187-10,110 AVENUE,4040400303,4000000
247636,187-06,187-06,110 AVENUE,4040400303,4000000
247637,187-02,187-02,110 AVENUE,4040400303,4000000
247648,188-16,188-16,110 AVENUE,4040400304,4000000
247650,188-06,188-06,110 AVENUE,4040400304,4000000
249619,86-41,86-41,SANTIAGO STREET,4047600203,4047600217
251368,211-17,211-17,91 AVENUE,4054200403,4054200407
255754,92-94,92-94,220 STREET,4056000211,4056000203
267481,112-18,112-18,SPRINGFIELD BOULEVARD,4053800202,4053800208
267482,112-10,112-10,SPRINGFIELD BOULEVARD,4053800202,4053800208
267483,112-08,112-08,SPRINGFIELD BOULEVARD,4053800202,4053800208
267484,112-06,112-06,SPRINGFIELD BOULEVARD,4053800202,4053800208
267485,112-04,112-04,SPRINGFIELD BOULEVARD,4053800202,4053800208
267486,112-02,112-02,SPRINGFIELD BOULEVARD,4053800202,4053800208
267487,215-38,215-38,112 AVENUE,4053800202,4053800208
267488,215-34,215-34,112 AVENUE,4053800202,4053800208
267489,215-32,215-32,112 AVENUE,4053800202,4053800208
267490,215-28,215-28,112 AVENUE,4053800202,4053800208
267491,215-26,215-26,112 AVENUE,4053800202,4053800208
267492,215-22,215-22,112 AVENUE,4053800202,4053800208
267493,215-20,215-20,112 AVENUE,4053800202,4053800208
267494,215-16,215-16,112 AVENUE,4053800202,4053800208
267495,215-14,215-14,112 AVENUE,4053800202,4053800208
267496,215-10,215-10,112 AVENUE,4053800202,4053800208
267497,215-08,215-08,112 AVENUE,4053800202,4053800208
267498,215-04,215-04,112 AVENUE,4053800202,4053800208
267499,215-02,215-02,112 AVENUE,4053800202,4053800208
267500,214-01,214-01,112 ROAD,4053800202,4053800208
267501,214-05,214-05,112 ROAD,4053800202,4053800208
267502,214-09,214-09,112 ROAD,4053800202,4053800208
267503,214-11,214-11,112 ROAD,4053800202,4053800208
267504,214-15,214-15,112 ROAD,4053800202,4053800208
267505,214-17,214-17,112 ROAD,4053800202,4053800208
267506,214-19,214-19,112 ROAD,4053800202,4053800208
267507,214-23,214-23,112 ROAD,4053800202,4053800208
267508,214-25,214-25,112 ROAD,4053800202,4053800208
267509,214-29,214-29,112 ROAD,4053800202,4053800208
267510,214-31,214-31,112 ROAD,4053800202,4053800208
267511,214-35,214-35,112 ROAD,4053800202,4053800208
267512,214-37,214-37,112 ROAD,4053800202,4053800208
268798,110-01,110-01,221 STREET,4058200125,4058200123
276038,150-18,150-18,RALEIGH STREET,4008800301,4008800303
276039,150-22,150-22,RALEIGH STREET,4008800301,4008800303
276040,150-24,150-24,RALEIGH STREET,4008800301,4008800303
276041,150-28,150-28,RALEIGH STREET,4008800301,4008800303
276046,150-30,150-30,RALEIGH STREET,4008800301,4008800303
276049,150-32,150-32,RALEIGH STREET,4008800301,4008800303
276879,128-04,128-04,109 AVENUE,4017000204,4017000203
280124,116-28,116-28,LINCOLN STREET,4017800108,4017800107
280125,116-30,116-30,LINCOLN STREET,4017800108,4017800107
280322,127-19C,127-19C,FOCH BOULEVARD,4017800204,4017800203
281881,133-40,133-40,HAWTREE CREEK ROAD,4083800310,4083800302
283893,133-04,133-04,I  678,4081400105,4000000
283894,133-08,133-08,I  678,4081400105,4000000
283895,133-12,133-12,I  678,4081400105,4000000
283896,133-16,133-16,I  678,4081400105,4000000
283897,133-20,133-20,I  678,4081400105,4000000
283898,133-24,133-24,I  678,4081400105,4000000
285000,135-19,135-19,130 PLACE,4081800210,4081800212
286230,111-17,111-17,I  678,4019400114,4000000
286231,111-15,111-15,I  678,4019400114,4000000
286232,111-11,111-11,I  678,4019400114,4000000
286244,111-23,111-23,I  678,4019400114,4000000
286245,111-21,111-21,I  678,4019400114,4000000
286904,114-15,114-15,I  678,4019200207,4000000
286905,114-11,114-11,I  678,4019200207,4000000
287714,224,224,BAY   32 STREET,4099200123,4000000
291297,131-19,131-19,BAISLEY BOULEVARD,4029400102,4029400108
291299,131-21,131-21,BAISLEY BOULEVARD,4029400102,4029400108
291466,109-09,109-09,109 AVENUE,4026000304,4009600104
296955,119-05,119-05,SMITH STREET,4028400112,4028400205
298780,119-77,119-77,178 STREET,4036800113,4036800107
298780,119-81,119-81,178 STREET,4036800113,4036800107
299597,163-45,163-45,130 AVENUE,4033402152,4033402161
299622,165-40,165-40,BAISLEY BOULEVARD,4033402154,4033402161
301752,117-43,117-43,196 STREET,4039400113,4039400101
307345,121-04,121-04,BELT PARKWAY,4061601108,4000000
307346,121-12,121-12,BELT PARKWAY,4061601108,4000000
307347,121-18,121-18,BELT PARKWAY,4061601108,4000000
307348,121-24,121-24,BELT PARKWAY,4061601108,4000000
307349,121-30,121-30,BELT PARKWAY,4061601108,4000000
307350,121-36,121-36,BELT PARKWAY,4061601108,4000000
307351,121-42,121-42,BELT PARKWAY,4061601108,4000000
307352,121-48,121-48,BELT PARKWAY,4061601108,4000000
307353,121-54,121-54,BELT PARKWAY,4061601108,4000000
307354,121-62,121-62,BELT PARKWAY,4061601108,4000000
307645,128-24,128-24,BELT PARKWAY,4061601209,4000000
307646,128-18,128-18,BELT PARKWAY,4061601209,4000000
307647,128-14,128-14,BELT PARKWAY,4061601209,4000000
307649,128-06,128-06,BELT PARKWAY,4061601209,4000000
308706,130-04,130-04,BELT PARKWAY,4061601308,4000000
308707,130-16,130-16,BELT PARKWAY,4061601308,4000000
308708,130-20,130-20,BELT PARKWAY,4061601308,4000000
308709,130-24,130-24,BELT PARKWAY,4061601308,4000000
308710,130-28,130-28,BELT PARKWAY,4061601308,4000000
308711,130-32,130-32,BELT PARKWAY,4061601308,4000000
308712,130-46,130-46,BELT PARKWAY,4061601308,4000000
309722,131-64,131-64,BELT PARKWAY,4061800101,4000000
309723,131-66,131-66,BELT PARKWAY,4061800101,4000000
309731,131-08,131-08,BELT PARKWAY,4061800101,4000000
310204,133-04,133-04,BELT PARKWAY,4061800209,4000000
310205,133-06,133-06,BELT PARKWAY,4061800209,4000000
310206,133-08,133-08,BELT PARKWAY,4061800209,4000000
310207,133-10,133-10,BELT PARKWAY,4061800209,4000000
310224,133-12,133-12,BELT PARKWAY,4061800209,4000000
310225,133-14,133-14,BELT PARKWAY,4061800209,4000000
310226,133-16,133-16,BELT PARKWAY,4061800209,4000000
310227,133-18,133-18,BELT PARKWAY,4061800209,4000000
310228,133-20,133-20,BELT PARKWAY,4061800209,4000000
310229,133-22,133-22,BELT PARKWAY,4061800209,4000000
310230,133-24,133-24,BELT PARKWAY,4061800209,4000000
310231,133-26,133-26,BELT PARKWAY,4061800209,4000000
310232,133-28,133-28,BELT PARKWAY,4061800209,4000000
310233,133-30,133-30,BELT PARKWAY,4061800209,4000000
310664,180-02,180-02,137 AVENUE,4035200116,4032800117
314880,139-12,139-12,BELT PARKWAY,4065000212,4000000
314881,139-16,139-16,BELT PARKWAY,4065000212,4000000
314882,139-20,139-20,BELT PARKWAY,4065000212,4000000
314883,139-24,139-24,BELT PARKWAY,4065000212,4000000
315161,137-56,137-56,BELT PARKWAY,4064600213,4000000
315190,137-12,137-12,BELT PARKWAY,4064600213,4000000
315191,137-16,137-16,BELT PARKWAY,4064600213,4000000
315192,137-20,137-20,BELT PARKWAY,4064600213,4000000
315193,137-24,137-24,BELT PARKWAY,4064600213,4000000
315194,137-28,137-28,BELT PARKWAY,4064600213,4000000
315195,137-32,137-32,BELT PARKWAY,4064600213,4000000
315196,137-36,137-36,BELT PARKWAY,4064600213,4000000
315197,137-40,137-40,BELT PARKWAY,4064600213,4000000
315198,137-44,137-44,BELT PARKWAY,4064600213,4000000
315199,137-48,137-48,BELT PARKWAY,4064600213,4000000
315646,247-15,247-15,135 ROAD,4063800202,4063800201
316152,236-05,236-05,NORTH CONDUIT AVENUE,4063800450,4063800455
316421,176-16,176-16,SOUTH CONDUIT AVENUE,4030600329,4030600309
319713,240-07,240-07,EDGEWOOD AVENUE,4066400110,4066400111
327952,1,1,COLEMAN SQUARE,4088400301,4088400201
327957,102-25,102-25,160 AVENUE,4088400213,4088400214
327989,9,9,COLEMAN SQUARE,4088400301,4088400201
327991,7,7,COLEMAN SQUARE,4088400301,4088400201
327993,5,5,COLEMAN SQUARE,4088400301,4088400201
327995,3,3,COLEMAN SQUARE,4088400301,4088400201
328706,22,22,BAYVIEW AVENUE,4088400401,4088400405
328709,16,16,BAYVIEW AVENUE,4088400401,4088400405
328710,9,9,BAYVIEW AVENUE,4088400401,4088400405
328729,7,7,BAYVIEW AVENUE,4088400401,4088400405
329182,102-35,102-35,165 AVENUE,4088400100,4088400413
329421,329,329,BERT ROAD,4107201232,4107201233
330328,714,714,103 STREET,4107201111,4000000
330329,712,712,103 STREET,4107201111,4000000
330562,1827,1827,CHANNEL ROAD,4107201147,4107201152
330563,1825,1825,CHANNEL ROAD,4107201147,4107201152
330760,701,701,BOLTON ROAD,4103202120,4103202103
330863,15-03,15-03,HORTON AVENUE,4103201410,4000000
331410,14,14,BEACH   17 STREET,4103202217,4000000
331411,16,16,BEACH   17 STREET,4103202217,4000000
331412,18,18,BEACH   17 STREET,4103202217,4000000
331413,20,20,BEACH   17 STREET,4103202217,4000000
331696,9-01,9-01,DORIAN COURT,4101001413,4000000
331696,9-21,9-21,DORIAN COURT,4101001413,4000000
331701,9-02,9-02,DORIAN COURT,4101001413,4000000
331713,9-10,9-10,DORIAN COURT,4101001413,4000000
331718,9-12,9-12,DORIAN COURT,4101001413,4000000
331720,9-16,9-16,DORIAN COURT,4101001413,4000000
331722,9-20,9-20,DORIAN COURT,4101001413,4000000
332204,402,402,BEACH    9 STREET,4101002109,4101002106
332205,406,406,BEACH    9 STREET,4101002109,4101002106
332206,410,410,BEACH    9 STREET,4101002109,4101002106
332610,404,404,BEACH    9 STREET,4101001205,4101002106
335337,5-10,5-10,HANSON COURT,4099801507,4099801508
335338,5-14,5-14,HANSON COURT,4099801507,4099801508
335339,5-18,5-18,HANSON COURT,4099801507,4099801508
335340,5-22,5-22,HANSON COURT,4099801507,4099801508
335341,5-26,5-26,HANSON COURT,4099801507,4099801508
335785,310,310,BAY   32 STREET,4099200140,4000000
335786,314,314,BAY   32 STREET,4099200140,4000000
335787,318,318,BAY   32 STREET,4099200140,4000000
335948,232,232,BAY   32 STREET,4099200123,4000000
335949,230,230,BAY   32 STREET,4099200123,4000000
335950,228,228,BAY   32 STREET,4099200123,4000000
335963,206,206,BAY   32 STREET,4099200123,4000000
335966,208,208,BAY   32 STREET,4099200123,4000000
