addresspoid,housenum,geo_housenum,geo_streetname,atomicid,geo_atomicid
336269,2,2,BAY   32 STREET,4099802305,4000000
978,25-01,25-01,44 DRIVE,4001900514,4001900509
1085,47-07,47-07,PEARSON STREET,4000100106,4000000
1087,47-15,47-15,PEARSON STREET,4000100106,4000000
1088,47-61,47-61,PEARSON STREET,4000100106,4000000
1093,47-22,47-22,PEARSON STREET,4000100108,4000000
1106,23-30,23-30,50 AVENUE,4000100160,4000100174
1107,50-20,50-20,CRESCENT STREET,4000100160,4000000
7558,1-04,1-04,ASTORIA BOULEVARD,4008700204,4008700214
10179,30-11,30-11,31 STREET,4006300002,4006300103
20442,33-20,33-20,21 AVENUE,4011100204,4011300202
20443,33-18,33-18,21 AVENUE,4011100204,4011300202
20444,33-16,33-16,21 AVENUE,4011100204,4011300202
20445,33-14,33-14,21 AVENUE,4011100204,4011300202
20446,33-12,33-12,21 AVENUE,4011100204,4011300202
24617,14-04,14-04,HOYT AVENUE,4009100109,4000000
24618,14-08,14-08,HOYT AVENUE,4009100109,4000000
24619,14-10,14-10,HOYT AVENUE,4009100109,4000000
24620,14-14,14-14,HOYT AVENUE,4009100109,4000000
24621,14-16,14-16,HOYT AVENUE,4009100109,4000000
24622,14-18,14-18,HOYT AVENUE,4009100109,4000000
24623,14-20,14-20,HOYT AVENUE,4009100109,4000000
24625,14-22,14-22,HOYT AVENUE,4009100109,4000000
24626,14-28,14-28,HOYT AVENUE,4009100106,4000000
24627,14-30,14-30,HOYT AVENUE,4009100106,4000000
24628,14-32,14-32,HOYT AVENUE,4009100106,4000000
24629,14-34,14-34,HOYT AVENUE,4009100106,4000000
24630,14-36,14-36,HOYT AVENUE,4009100106,4000000
24631,14-38,14-38,HOYT AVENUE,4009100106,4000000
24690,12-10,12-10,HOYT AVENUE,4009100103,4000000
26110,72-02,72-02,ASTORIA BOULEVARD,4029900107,4029900108
34402,41-10,41-10,67 STREET,4026300302,4026300304
36722,88-22,88-22,ASTORIA BOULEVARD,4032900201,4032900222
44019,41-100,41-100,DENMAN STREET,4046300103,4000000
50695,127-02A,127-02A,36 AVENUE,4038301119,4038301114
53002,58-28,58-28,99 STREET,4045500108,4045500107
53266,103-18,103-18,ALSTYNE AVENUE,4043900102,4043900214
58611,108-55,108-55,QUEENS BOULEVARD,4073900410,4073900405
59952,47-30,47-30,59 STREET,4024500214,4024500217
62079,68-19,68-19,56 ROAD,4051100101,4000000
62080,68-17,68-17,56 ROAD,4051100101,4000000
62081,68-15,68-15,56 ROAD,4051100101,4000000
62082,68-11,68-11,56 ROAD,4051100101,4000000
63068,70-14,70-14,49 AVENUE,4048900211,4048900215
63211,72-01,72-01,48 AVENUE,4048900228,4048900102
66006,57-35,57-35,59 AVENUE,4053500116,4053500120
66218,54-20,54-20,FLUSHING AVENUE,4053500106,4053500126
66872,58-01,58-01,56 ROAD,4021900107,4021900106
67791,55-63,55-63,61 STREET,4051700120,4051700124
67791,55-69,55-69,61 STREET,4051700120,4051700124
70614,67-63,67-63,METROPOLITAN AVENUE,4065702108,4060701118
70615,67-59,67-59,METROPOLITAN AVENUE,4065702108,4060701118
73544,85-04,85-04,LONG ISLAND EXPRESSWAY,4050500102,4000000
73545,85-08,85-08,LONG ISLAND EXPRESSWAY,4050500102,4000000
87864,80-30,80-30,PARK LANE SOUTH,4077300153,4077300139
92859,63-18,63-18,240 STREET,4059300106,4000000
93050,6606,66-06,240 STREET,4058700102,4000000
93150,66-48,66-48,240 STREET,4058700202,4000000
93152,66-50,66-50,240 STREET,4058700202,4000000
94179,66-15,66-15,240 STREET,4058700101,4000000
94181,66-13,66-13,240 STREET,4058700101,4000000
94183,66-11,66-11,240 STREET,4058700101,4000000
94184,66-07,66-07,240 STREET,4058700101,4000000
94187,66-05,66-05,240 STREET,4058700101,4000000
94191,66-01,66-01,240 STREET,4058700101,4000000
94323,66-55,66-55,240 STREET,4058700201,4000000
94325,66-53,66-53,240 STREET,4058700201,4000000
94327,6651,66-51,240 STREET,4058700201,4000000
94329,6649,66-49,240 STREET,4058700201,4000000
94331,66-47,66-47,240 STREET,4058700201,4000000
94333,6643,66-43,240 STREET,4058700201,4000000
94335,66-41,66-41,240 STREET,4058700201,4000000
97791,67-01,67-01,FRESH POND ROAD,4061301213,4061301205
99213,73-01,73-01,EDSALL AVENUE,4061900109,4062300108
99214,72-351/2,72-35 1/2,EDSALL AVENUE,4061900109,4062300108
99215,72-37,72-37,EDSALL AVENUE,4061900109,4062300108
99216,72-35,72-35,EDSALL AVENUE,4061900109,4062300108
101405,82-30,82-30,CYPRESS HILLS STREET,4056100107,4056100135
112403,31-99,31-99,123 STREET,4090700218,4090700224
112404,31-89,31-89,123 STREET,4090700218,4090700224
112559,139-15,139-15,POINT CRESCENT,4094500139,4000000
112592,7-14,7-14,POINT CRESCENT,4094500109,4094500139
112759,34,34,7 AVENUE,4094500135,4000000
112762,32,32,7 AVENUE,4094500135,4000000
112763,30,30,7 AVENUE,4094500135,4000000
112765,28,28,7 AVENUE,4094500135,4000000
112766,28,28,7 AVENUE,4094500135,4000000
112785,39,39,9 AVENUE,4094500110,4000000
112791,141-16,141-16,8 AVENUE,4094500110,4000000
112795,141-24,141-24,8 AVENUE,4094500110,4000000
112797,141-32,141-32,8 AVENUE,4094500110,4000000
112801,141-28,141-28,8 AVENUE,4094500110,4000000
112807,141-59,141-59,9 AVENUE,4094500110,4000000
112809,23,23,9 AVENUE,4094500110,4000000
112810,141-47,141-47,9 AVENUE,4094500110,4000000
112811,141-47,141-47,CENTER DRIVE,4094500110,4094500113
112813,27,27,9 AVENUE,4094500110,4000000
112814,141-41,141-41,9 AVENUE,4094500110,4000000
112815,141-41,141-41,CENTER DRIVE,4094500110,4094500113
